ID	;	x	;	y	;	score
0	;	260.0000	;	16.0000	;	0.820
1	;	244.0000	;	38.0000	;	0.682
2	;	236.0000	;	36.0000	;	0.786
3	;	288.0000	;	38.0000	;	0.687
4	;	288.0000	;	10.0000	;	0.616
5	;	248.0000	;	38.0000	;	0.507
6	;	284.0000	;	40.0000	;	0.100
8	;	240.0000	;	114.0000	;	0.620
9	;	262.0000	;	170.0000	;	0.774
10	;	266.0000	;	228.0000	;	0.549
11	;	250.0000	;	110.0000	;	0.567
12	;	268.0000	;	168.0000	;	0.652
13	;	270.0000	;	226.0000	;	0.203
14	;	256.0000	;	10.0000	;	0.858
15	;	264.0000	;	12.0000	;	0.568
16	;	242.0000	;	10.0000	;	0.967
