ID	;	x	;	y	;	score
0	;	202.0000	;	14.0000	;	0.791
1	;	192.0000	;	34.0000	;	0.791
2	;	184.0000	;	38.0000	;	0.743
3	;	220.0000	;	60.0000	;	0.861
4	;	216.0000	;	28.0000	;	0.666
5	;	200.0000	;	30.0000	;	0.629
6	;	220.0000	;	56.0000	;	0.110
7	;	216.0000	;	24.0000	;	0.152
8	;	206.0000	;	108.0000	;	0.588
9	;	216.0000	;	170.0000	;	0.625
10	;	204.0000	;	224.0000	;	0.316
11	;	214.0000	;	104.0000	;	0.391
12	;	218.0000	;	166.0000	;	0.331
13	;	198.0000	;	208.0000	;	0.295
14	;	194.0000	;	12.0000	;	0.953
15	;	202.0000	;	10.0000	;	0.690
16	;	180.0000	;	14.0000	;	0.984
