ID	;	x	;	y	;	score
0	;	88.0000	;	22.0000	;	0.361
1	;	94.0000	;	38.0000	;	0.721
2	;	96.0000	;	38.0000	;	0.614
3	;	72.0000	;	38.0000	;	0.251
4	;	68.0000	;	26.0000	;	0.365
5	;	92.0000	;	38.0000	;	0.866
6	;	64.0000	;	40.0000	;	0.705
7	;	64.0000	;	22.0000	;	0.587
8	;	88.0000	;	86.0000	;	0.598
9	;	76.0000	;	124.0000	;	0.698
10	;	70.0000	;	162.0000	;	0.572
11	;	92.0000	;	88.0000	;	0.794
12	;	76.0000	;	124.0000	;	0.855
13	;	76.0000	;	164.0000	;	0.730
15	;	90.0000	;	20.0000	;	0.432
17	;	96.0000	;	24.0000	;	0.675
