ID	;	x	;	y	;	score
0	;	172.0000	;	18.0000	;	0.820
1	;	180.0000	;	40.0000	;	0.690
2	;	184.0000	;	40.0000	;	0.610
3	;	192.0000	;	68.0000	;	0.625
4	;	196.0000	;	90.0000	;	0.661
5	;	178.0000	;	40.0000	;	0.764
6	;	152.0000	;	44.0000	;	0.837
7	;	152.0000	;	24.0000	;	0.663
8	;	182.0000	;	90.0000	;	0.562
9	;	172.0000	;	128.0000	;	0.670
10	;	176.0000	;	166.0000	;	0.613
11	;	178.0000	;	90.0000	;	0.731
12	;	168.0000	;	128.0000	;	0.748
13	;	168.0000	;	166.0000	;	0.600
15	;	176.0000	;	16.0000	;	0.720
17	;	182.0000	;	22.0000	;	0.793
