ID	;	x	;	y	;	score
0	;	212.0000	;	24.0000	;	0.728
1	;	200.0000	;	38.0000	;	0.780
2	;	198.0000	;	36.0000	;	0.806
3	;	222.0000	;	40.0000	;	0.617
4	;	220.0000	;	28.0000	;	0.713
5	;	202.0000	;	38.0000	;	0.658
6	;	222.0000	;	44.0000	;	0.298
7	;	220.0000	;	36.0000	;	0.397
8	;	212.0000	;	74.0000	;	0.829
9	;	216.0000	;	104.0000	;	0.709
10	;	216.0000	;	136.0000	;	0.599
11	;	216.0000	;	72.0000	;	0.596
12	;	218.0000	;	104.0000	;	0.713
13	;	216.0000	;	134.0000	;	0.569
14	;	210.0000	;	22.0000	;	0.870
16	;	204.0000	;	22.0000	;	0.957
