ID	;	x	;	y	;	score
0	;	170.0000	;	26.0000	;	0.860
1	;	180.0000	;	40.0000	;	0.646
2	;	182.0000	;	40.0000	;	0.499
3	;	156.0000	;	46.0000	;	0.172
4	;	156.0000	;	30.0000	;	0.267
5	;	178.0000	;	40.0000	;	0.730
6	;	152.0000	;	44.0000	;	0.799
7	;	154.0000	;	26.0000	;	0.725
8	;	178.0000	;	84.0000	;	0.637
9	;	166.0000	;	116.0000	;	0.821
10	;	164.0000	;	150.0000	;	0.886
11	;	172.0000	;	84.0000	;	0.808
12	;	158.0000	;	116.0000	;	0.783
13	;	158.0000	;	146.0000	;	0.647
15	;	172.0000	;	24.0000	;	0.811
17	;	180.0000	;	26.0000	;	0.948
