ID	;	x	;	y	;	score
0	;	170.0000	;	26.0000	;	0.882
1	;	180.0000	;	40.0000	;	0.663
2	;	184.0000	;	40.0000	;	0.562
3	;	156.0000	;	46.0000	;	0.137
4	;	156.0000	;	30.0000	;	0.219
5	;	176.0000	;	40.0000	;	0.677
6	;	152.0000	;	44.0000	;	0.717
7	;	152.0000	;	26.0000	;	0.702
8	;	180.0000	;	84.0000	;	0.721
9	;	164.0000	;	114.0000	;	0.724
10	;	164.0000	;	148.0000	;	0.712
11	;	172.0000	;	84.0000	;	0.810
12	;	158.0000	;	114.0000	;	0.689
13	;	160.0000	;	148.0000	;	0.681
15	;	172.0000	;	22.0000	;	0.881
17	;	180.0000	;	26.0000	;	0.944
