ID	;	x	;	y	;	score
0	;	168.0000	;	30.0000	;	0.705
1	;	178.0000	;	42.0000	;	0.769
2	;	176.0000	;	42.0000	;	0.567
3	;	154.0000	;	44.0000	;	0.288
4	;	154.0000	;	28.0000	;	0.388
5	;	180.0000	;	42.0000	;	0.860
6	;	154.0000	;	44.0000	;	0.756
7	;	154.0000	;	26.0000	;	0.757
8	;	176.0000	;	86.0000	;	0.600
9	;	162.0000	;	118.0000	;	0.716
10	;	162.0000	;	148.0000	;	0.744
11	;	178.0000	;	88.0000	;	0.780
12	;	162.0000	;	118.0000	;	0.798
13	;	162.0000	;	150.0000	;	0.786
15	;	170.0000	;	26.0000	;	0.868
17	;	176.0000	;	28.0000	;	0.949
