ID	;	x	;	y	;	score
0	;	39150.0000	;	6834.3750	;	0.844
1	;	42750.0000	;	9112.5000	;	0.791
2	;	44550.0000	;	9365.6250	;	0.598
3	;	45450.0000	;	13668.7500	;	0.151
5	;	41400.0000	;	8606.2500	;	0.836
6	;	33750.0000	;	8100.0000	;	0.571
7	;	33300.0000	;	5315.6250	;	0.385
8	;	39600.0000	;	16453.1250	;	0.539
9	;	34650.0000	;	21262.5000	;	0.381
10	;	35550.0000	;	29362.5000	;	0.365
11	;	40950.0000	;	16959.3750	;	0.794
12	;	38700.0000	;	23287.5000	;	0.826
13	;	37350.0000	;	30375.0000	;	0.524
15	;	40050.0000	;	6328.1250	;	0.896
17	;	42300.0000	;	6581.2500	;	0.951
