ID	;	x	;	y	;	score
0	;	150.0000	;	10.0000	;	0.808
1	;	150.0000	;	22.0000	;	0.629
2	;	148.0000	;	20.0000	;	0.546
3	;	126.0000	;	26.0000	;	0.125
4	;	122.0000	;	10.0000	;	0.228
5	;	152.0000	;	26.0000	;	0.779
6	;	122.0000	;	30.0000	;	0.871
7	;	122.0000	;	10.0000	;	0.696
8	;	144.0000	;	74.0000	;	0.555
9	;	136.0000	;	118.0000	;	0.442
10	;	144.0000	;	156.0000	;	0.254
11	;	150.0000	;	76.0000	;	0.728
12	;	130.0000	;	118.0000	;	0.822
13	;	130.0000	;	156.0000	;	0.652
14	;	148.0000	;	8.0000	;	0.657
15	;	154.0000	;	8.0000	;	0.841
17	;	162.0000	;	12.0000	;	0.846
