ID	;	x	;	y	;	score
0	;	226.0000	;	32.0000	;	0.804
1	;	226.0000	;	52.0000	;	0.737
2	;	224.0000	;	54.0000	;	0.754
3	;	252.0000	;	58.0000	;	0.720
4	;	258.0000	;	40.0000	;	0.529
5	;	228.0000	;	50.0000	;	0.576
6	;	248.0000	;	52.0000	;	0.148
7	;	256.0000	;	38.0000	;	0.324
8	;	234.0000	;	102.0000	;	0.766
9	;	242.0000	;	140.0000	;	0.823
10	;	240.0000	;	172.0000	;	0.482
11	;	242.0000	;	98.0000	;	0.645
12	;	248.0000	;	138.0000	;	0.568
13	;	248.0000	;	168.0000	;	0.326
14	;	220.0000	;	30.0000	;	0.843
15	;	226.0000	;	28.0000	;	0.938
16	;	212.0000	;	38.0000	;	0.840
