ID	;	x	;	y	;	score
0	;	62550.0000	;	6328.1250	;	0.727
1	;	59400.0000	;	8606.2500	;	0.802
2	;	60300.0000	;	8606.2500	;	0.824
3	;	67500.0000	;	8606.2500	;	0.834
4	;	68400.0000	;	5568.7500	;	0.685
5	;	58050.0000	;	8859.3750	;	0.586
6	;	66150.0000	;	8353.1250	;	0.165
8	;	61200.0000	;	15946.8750	;	0.682
9	;	63900.0000	;	22781.2500	;	0.775
10	;	63900.0000	;	29362.5000	;	0.531
11	;	58500.0000	;	15946.8750	;	0.575
12	;	63450.0000	;	22781.2500	;	0.408
13	;	64350.0000	;	28856.2500	;	0.373
14	;	61650.0000	;	5821.8750	;	0.751
15	;	63000.0000	;	5568.7500	;	0.374
16	;	59400.0000	;	6328.1250	;	0.842
