ID	;	x	;	y	;	score
0	;	168.0000	;	10.0000	;	0.842
1	;	176.0000	;	32.0000	;	0.661
2	;	174.0000	;	30.0000	;	0.624
3	;	154.0000	;	44.0000	;	0.346
4	;	152.0000	;	26.0000	;	0.353
5	;	178.0000	;	34.0000	;	0.930
6	;	152.0000	;	44.0000	;	0.888
7	;	150.0000	;	24.0000	;	0.628
8	;	170.0000	;	80.0000	;	0.579
9	;	166.0000	;	118.0000	;	0.535
10	;	174.0000	;	158.0000	;	0.429
11	;	174.0000	;	82.0000	;	0.673
12	;	166.0000	;	120.0000	;	0.853
13	;	168.0000	;	158.0000	;	0.703
15	;	172.0000	;	8.0000	;	0.853
17	;	180.0000	;	14.0000	;	0.961
